username,commentor,URL,Date,Time,Likes,Captions,Comments
vangalapudianitha,vangalapudianitha,https://www.instagram.com/vangalapudianitha/p/C9nNd8aRbVS/,2024-07-19,17:28:35,"5,969",తిరుపతి అలిపిరి మెట్లమార్గంలో కాలినడకన తిరుమల చేరుకోవడం జరిగింది.,
vangalapudianitha,sandhyasri349,https://www.instagram.com/vangalapudianitha/p/C9nNd8aRbVS/,2024-07-30,08:44:17,,,Maku nayam cheyande madam
vangalapudianitha,nani__pathrudu,https://www.instagram.com/vangalapudianitha/p/C9nNd8aRbVS/,2024-07-30,04:42:14,,,Fire Brand 🔥
vangalapudianitha,pentakotasriramamurthy,https://www.instagram.com/vangalapudianitha/p/C9nNd8aRbVS/,2024-07-22,05:48:16,,,🙏🙏
vangalapudianitha,chundru_nani,https://www.instagram.com/vangalapudianitha/p/C9nNd8aRbVS/,2024-07-20,19:22:07,,,Madam please my request emka ap police lo fact chudakunda money tho chala mandini pakka dari pattisthunaru once verify madam
vangalapudianitha,ugop.inadh,https://www.instagram.com/vangalapudianitha/p/C9nNd8aRbVS/,2024-07-20,17:46:29,,,Hi
vangalapudianitha,jags1970,https://www.instagram.com/vangalapudianitha/p/C9nNd8aRbVS/,2024-07-20,08:53:52,,,Have a nice darshan and get the blessings of the kaliyuga daivam Anithamma! Om Namo Venkatesaya!👏👏👏!
vangalapudianitha,bollamnareshprabhas,https://www.instagram.com/vangalapudianitha/p/C9nNd8aRbVS/,2024-07-20,06:05:36,,,Maa sister akkada unna king y
vangalapudianitha,lovelyumar211__,https://www.instagram.com/vangalapudianitha/p/C9nNd8aRbVS/,2024-07-20,04:07:13,,,Super medam garu
vangalapudianitha,vkg.eyecare,https://www.instagram.com/vangalapudianitha/p/C9nNd8aRbVS/,2024-07-20,02:45:31,,,Lord Venkateswara bless you 🙏 madam
vangalapudianitha,darling.__.chandu.__.01,https://www.instagram.com/vangalapudianitha/p/C9nNd8aRbVS/,2024-07-20,01:32:57,,,Great madam❤️👏
vangalapudianitha,ramanayerravenkata,https://www.instagram.com/vangalapudianitha/p/C9nNd8aRbVS/,2024-07-20,01:32:20,,,Jai anithamma 🙏🙏👍
vangalapudianitha,the_naren_goud,https://www.instagram.com/vangalapudianitha/p/C9nNd8aRbVS/,2024-07-20,01:24:07,,,Madem meru nta simple ga untaru mam 🥹👏🏻👏🏻👏🏻
vangalapudianitha,vangalapudianitha,https://www.instagram.com/vangalapudianitha/p/CfraDjHL1Im/,2022-07-06,16:53:45,266,"పాయకరావుపేట నియోజకవర్గం , సిరిపురం గ్రామంలో బాదుడే బాదుడు కార్యక్రమంలో పాల్గొన్న శ్రీమతి అనిత వంగలపూడి గారు , స్థానిక తెలుగుదేశం నాయకులు , కార్యకర్తలు.

#TeamAV #TeluguMahila #AnithaForPayakaraoPeta #AdminPost #ManaAnithaManaPayakaraopeta #YSJaganFailedCM #ByeByeYsJagan",
vangalapudianitha,nandru.vamsi,https://www.instagram.com/vangalapudianitha/p/CfraDjHL1Im/,2022-07-07,01:32:38,,,👍
vangalapudianitha,vangalapudianitha,https://www.instagram.com/vangalapudianitha/p/DL6YvxdPGXg/,2025-07-10,03:32:14,621,"ఆంధ్రప్రదేశ్ లో విద్యాప్రమాణాలు పెంచడమే లక్ష్యంగా గౌరవ ముఖ్యమంత్రి శ్రీ @ncbn.official గారు, ఐటీ, విద్యాశాఖ మంత్రి శ్రీ  @naralokesh గారు రాష్ట్రవ్యాప్తంగా ప్రభుత్వ, ప్రైవేటు పాఠశాలలు, ప్రభుత్వ జూనియర్ కాలేజీల్లో నేడు మెగా పేరెంట్ - టీచర్స్ మీటింగ్ నిర్వహిస్తున్నారు. తల్లిదండ్రులు, విద్యార్థులు నేడు జరిగే పేరెంట్ - టీచర్స్ మీటింగ్ లో పాల్గొని విద్యార్థుల బంగారు భవిష్యత్తుకు బాటలు వేసే మహాయజ్ఞంలో పాలుపంచుకోవాలని కోరుతున్నాము. 

#MegaParentTeacherMeeting #TeluguDesamParty #ChandrababuNaidu #NaraLokesh #AndhraPradesh #VangalapudiAnitha #HomeMinisterAnitha #CBN #CBNSir #ncbn",
